_id,customerId,driverReview,driverRate,sentiment_score
6634df27acc2bff0d5fa2557,66275dccb5d294ab26400cbc,,,
6634c4b741f3ed78191dd9e6,66275dccb5d294ab26400cbc,,,
6634e2fc9b1698afce48afad,66275dccb5d294ab26400cbc,,,
663e12b1e4586165d7a07cf8,66336f1628f5fe5960a3cfc7,,5.0,
6642eccd2f490f9507863177,66336f1628f5fe5960a3cfc7,,3.0,
6642f9f12f490f950786877b,66336f1628f5fe5960a3cfc7,,5.0,
66445ad7d7fabb95109291ac,66349882113a22242ce73979,,5.0,
66445b57d7fabb95109294b3,66349882113a22242ce73979,,,
66445d9367455917ed995a1d,66349882113a22242ce73979,,5.0,
66445f5867455917ed995f19,66349882113a22242ce73979,,5.0,
664467e067455917ed99a987,6644654e67455917ed99747c,,5.0,
66447e080566d1f237edff3a,6644654e67455917ed99747c,,5.0,
664493e81ca41898037fede7,6644654e67455917ed99747c,,5.0,
6645b078e7ffd0606b8af9fd,66458a9277e85070f209db60,,5.0,
6646f0a9be2981114e9a81e6,664593a686f657c093aaef70,,5.0,
6646fb42be2981114e9a9fce,664593a686f657c093aaef70,,5.0,
6647430e5657fe26be4dc81b,661e22c3c81c2deaba77eed9,,,
66482a12d7156d0c1e6fd0bc,66179ce7ceea37b704f88e36,,5.0,
664acb2deee087edfdfd7a10,66458a9277e85070f209db60,,,
664ad685eee087edfdfd9c00,6645912d337cbf3f6ade94a5,,,
664ad6dfeee087edfdfd9cb9,6645912d337cbf3f6ade94a5,,,
664ad70feee087edfdfd9dc6,6645912d337cbf3f6ade94a5,,,
664ad799eee087edfdfd9f35,6645912d337cbf3f6ade94a5,,,
66473b16e142ec0d253d2e3c,6647005cbe2981114e9ab8a8,,,
664adbb6eee087edfdfda742,6645912d337cbf3f6ade94a5,,,
663da04fe4a9f19d52219089,660bd605ff307600d9436370,,,
664adcc8eee087edfdfe02d9,6645912d337cbf3f6ade94a5,,,
664add6aeee087edfdfe05ca,6645912d337cbf3f6ade94a5,,,
664ae0a5a29f57e633a478ef,66179ce7ceea37b704f88e36,,,
664ae0f0a29f57e633a47b03,66179ce7ceea37b704f88e36,,,
